prob,mu,temp,social,Run,max IN degree,avg clustering coeff
0.09375,0.4740625,0.1459375,0.65625,0,0.18790105389225772,29
0.28125,0.4740625,0.1459375,0.65625,1,0.1855634357024744,32
0.09375,0.9690625,0.1459375,0.65625,2,0.20058919581648843,32
0.09375,0.4740625,0.1640625,0.65625,3,0.19088334144296962,37
0.09375,0.4740625,0.1459375,0.84375,4,0.18494212986454833,29
0.28125,0.9690625,0.1640625,0.84375,5,0.20262721666094943,30
0.59375,0.9690625,0.2909375,0.15625,6,0.2940097040671294,61
0.78125,0.9690625,0.2909375,0.15625,7,0.30021827897567804,77
0.59375,0.4740625,0.2909375,0.15625,8,0.27907983425758226,62
0.59375,0.9690625,0.0190625,0.15625,9,0.32458454849403057,70
0.59375,0.9690625,0.2909375,0.34375,10,0.21862012463948474,53
0.78125,0.4740625,0.0190625,0.34375,11,0.19890300649314926,80
0.84375,0.2265625,0.07343749999999999,0.90625,12,0.15239068599456226,75
0.53125,0.2265625,0.07343749999999999,0.90625,13,0.1225865333440671,50
0.84375,0.2265625,0.07343749999999999,0.90625,14,0.1616110219883465,82
0.84375,0.2265625,0.23656249999999998,0.90625,15,0.148021484946452,83
0.84375,0.2265625,0.07343749999999999,0.09375,16,0.2038072044793918,85
0.53125,0.2265625,0.23656249999999998,0.09375,17,0.22258247317191615,53
0.34375,0.7215625,0.2184375,0.40625,18,0.19824473496049014,32
0.03125,0.7215625,0.2184375,0.40625,19,0.21590099812644786,34
0.34375,0.7215625,0.2184375,0.40625,20,0.19715313086645359,36
0.34375,0.7215625,0.09156249999999999,0.40625,21,0.20793332967299405,39
0.34375,0.7215625,0.2184375,0.59375,22,0.1987371672697552,34
0.03125,0.7215625,0.09156249999999999,0.59375,23,0.19104698104875154,32
0.46875,0.10281249999999999,0.25468749999999996,0.28125,24,0.0,48
0.15625,0.10281249999999999,0.25468749999999996,0.28125,25,0.0,18
0.46875,0.8453125,0.25468749999999996,0.28125,26,0.21562305697207973,52
0.46875,0.10281249999999999,0.2728125,0.28125,27,0.0,46
0.46875,0.10281249999999999,0.25468749999999996,0.21875,28,0.0,46
0.15625,0.8453125,0.2728125,0.21875,29,0.22725455369430006,43
0.96875,0.5978125,0.1096875,0.78125,30,0.2068212738449685,99
0.65625,0.5978125,0.1096875,0.78125,31,0.19516354623349128,70
0.96875,0.3503125,0.1096875,0.78125,32,0.18252326759453275,99
0.96875,0.5978125,0.1278125,0.78125,33,0.21091314210411397,95
0.96875,0.5978125,0.1096875,0.71875,34,0.20777027944249574,94
0.65625,0.3503125,0.1278125,0.71875,35,0.1730343455281661,66
0.71875,0.3503125,0.1821875,0.03125,36,0.2165046294395448,70
0.90625,0.3503125,0.1821875,0.03125,37,0.21777866860521122,90
0.71875,0.10281249999999999,0.1821875,0.03125,38,0.026674714956405096,71
0.71875,0.3503125,0.2003125,0.03125,39,0.21027852226166163,71
0.71875,0.3503125,0.1821875,0.96875,40,0.17017978549799678,73
0.90625,0.10281249999999999,0.2003125,0.96875,41,0.0,90
0.21875,0.8453125,0.0371875,0.53125,42,0.20355182252700477,34
0.40625,0.8453125,0.0371875,0.53125,43,0.2113861965969369,34
0.21875,0.5978125,0.0371875,0.53125,44,0.19703314177140757,32
0.21875,0.8453125,0.0553125,0.53125,45,0.1997916083948431,32
0.21875,0.8453125,0.0371875,0.46875,46,0.2060058436601448,30
0.40625,0.5978125,0.0553125,0.46875,47,0.19858168270161397,40
0.09375,0.4740625,0.1459375,0.65625,48,0.1827935560616255,31
0.28125,0.4740625,0.1459375,0.65625,49,0.19097152862870023,34
0.09375,0.9690625,0.1459375,0.65625,50,0.20341535300911404,39
0.09375,0.4740625,0.1640625,0.65625,51,0.18951718162953196,31
0.09375,0.4740625,0.1459375,0.84375,52,0.18395852609302954,29
0.28125,0.9690625,0.1640625,0.84375,53,0.2028501401052822,32
0.59375,0.9690625,0.2909375,0.15625,54,0.3266274085775106,68
0.78125,0.9690625,0.2909375,0.15625,55,0.2961750187718796,74
0.59375,0.4740625,0.2909375,0.15625,56,0.20268623794107707,63
0.59375,0.9690625,0.0190625,0.15625,57,0.2976272475675911,61
0.59375,0.9690625,0.2909375,0.34375,58,0.20736644101349933,60
0.78125,0.4740625,0.0190625,0.34375,59,0.2030026240059771,82
0.84375,0.2265625,0.07343749999999999,0.90625,60,0.15181856077453929,84
0.53125,0.2265625,0.07343749999999999,0.90625,61,0.13534195272226873,49
0.84375,0.2265625,0.07343749999999999,0.90625,62,0.14897144675696525,81
0.84375,0.2265625,0.23656249999999998,0.90625,63,0.16424144515443623,82
0.84375,0.2265625,0.07343749999999999,0.09375,64,0.2402436584746973,83
0.53125,0.2265625,0.23656249999999998,0.09375,65,0.1751477001743952,60
0.34375,0.7215625,0.2184375,0.40625,66,0.20762775441346576,35
0.03125,0.7215625,0.2184375,0.40625,67,0.2105729352138429,33
0.34375,0.7215625,0.2184375,0.40625,68,0.20407898172015443,40
0.34375,0.7215625,0.09156249999999999,0.40625,69,0.20511264930871076,31
0.34375,0.7215625,0.2184375,0.59375,70,0.20143914262479362,31
0.03125,0.7215625,0.09156249999999999,0.59375,71,0.21795672228642768,33
0.46875,0.10281249999999999,0.25468749999999996,0.28125,72,0.0,50
0.15625,0.10281249999999999,0.25468749999999996,0.28125,73,0.0,8
0.46875,0.8453125,0.25468749999999996,0.28125,74,0.20691222843742202,50
